ACIDOSIS.21672245	ACTIVATEDENDOTHELIUM.23975155	AKT.20335537	ANTIOXIDANT	AR.TNBC.21633166	ASCORE.21422418	BCAT.ONCOGENE.16273092	BETACATENIN.20335537	BMYB.19043454	BRCA1.11823860	BRCA1.UP.16843262 	CCND1.12914697 	CCND1K112E.12914697 	CD44POS.CD24NEG.17229949	CIN70.16921376	CMYB.20949095	CORE.EMT. 20713713	DNADAMAGE.TNBC.21633166	E2F1.20335537	E2F3.ONCOGENE.16273092	EGFR.20335537	EIF4E.UP.17638893 	EMT.MCF10A.18281472  	EMT.TNBC.21633166	ER.20335537	ERBB2.DESMEDT.18698033	ERNEG.RESIST.21558518	ERNEG.SENS.21558518	ERPOS.RESIST.21558518	ERPOS.SENS.21558518	ESC.18397753	ESR1.DESMEDT.18698033	FIBRO.COCULTURE.21625507	FIBRO.SERUM1.14737219	FIBRO.SERUM2.14737219	FOSJUN.21214954	GATA3.15361840 	GENE70.11823860	GEPARSIXTO.ACT.25534375	GEPARSIXTO.SUPP.25534375	GF.TNBC.21633166	GGI.16478745	GLUCOSEDEPLETION.21672245	GYCOLYSIS.19291283	HER1C1.17663798	HER1C2.17663798	HER1C3.17663798	HER2.20335537	HER2AMP.21214954	HGF.24025166	HSP90.20920318	HYPOXIA.21672245	IFNA.20335537	IFNG.20335537	IGF1. 18757322	IMMUNE.ERNEG.17683518	IMMUNE.STAT1.18698033	IMMUNESIG1.TNBC.21633166	IMMUNESIG2.21633166	INVASION.PLAU.18698033	LACTICACIDOSIS.21672245	LKB1.17676035	MAMLIN.LumProg.19648928	MAMLIN.MaSC.19648928	MAMLIN.MatLum.19648928	MAMLIN.STROMAL.19648928	MAPK.16585219	MCF7.DOXRESIST.20935265	MESENCHSTEM.TNBC.21633166	MET.DOWN.23049908	MYC.ONCOGENE.16273092	MYCACT.20335537	MYCSIG.19690609	NEOADJ.RESIST.16896004	P53.20335537	P53MUT.17150101	P53MUT.UP.16199517	P63.20335537	PI3K.20335537	PIK3CA.22552288	PIK3CA.MUT.20479250	PR.20335537	PROLIF.AURKA.18698033	PROLIF.TNBC.21633166	PROLIF.PCNA.22028643	PROLIFERATION.GATZA.21214954	PROLIFERATIONPAM50.19204204	PTENDEL.17452630	RANDOM.GENOME10	RANDOM.GENOME100	RANDOM.GENOME5	RANDOM.GENOME50	RANDOM.GENOME500	RANDOM.SAMPLE10	RANDOM.SAMPLE100	RANDOM.SAMPLE5	RANDOM.SAMPLE50	RANDOM.SAMPLE500	RAS.ACT.20591134	RAS.20335537	RAS.ONCOGENE.16273092	RASERK.ACT.22683778	RBBP8.UP.16843262	RBLOH.18782450	SRC.20335537	SRC.ONCOGENE.16273092	STAT1.19272155	STAT3.20335537	STAT3.15958548	STEM.TNBC.21633166	STEMCELL.15931389	STROMAL.19122658	STROMALDOWN.19648928	STROMALUP.19648928	TGFB.20335537	TGFBETA.18394990	TGFBETA.ACT.19451693	TNBC.TAXANE.20189874	TNFA.20335537	TOP2A.21422418	VEGFHYPOXIA.19291283	WNT.EMT.19549913	WNT.TNBC.21633166	WOUNDRESPONSE.19887484	YAP.UP.18413746
3107	1062	2059	2940				22875	991	55120	8973	836	836	2920	1894	79796	55068		8450	1031	571	9775	8318		79083	5909	4666	3221	1534	8543	5832	83464	1487	3422	23175			92140				55143	54407		5496	6632	25879	22839		6789		26355	55008	10468	79000		6373		921	2050	10075	51557	56477	358	360	1646	7461	3491		1633	4691	28969	10409		9254	8836	725		81620	10344	972	1154	79682		10036	83461		157313		64118		2932	81611		9531		113130	582	1847	2921	6364	8091	941	51582				2266				2191	613	120	3397	676			3174					1349	84705
3133	8208	2222	2941				5393	994	83416	8483	881	886	285440	1994	154810	5168		1633	1050	8412	2173	990		5094	147179	4686	11234	1593	79888	219	427	1520	7866	27258			51377				1017	6520		55131	1678	84259	1824		128637		29902	3106	2633	578		4283		923	1833	3714	22998	56477	57569	367	1109	79174	27122		28960	65083	56652	581		23125	9674	765		8837	891	64866	1350	51142		51192	55143		1010		1889		3082	312		581		55573	120379	1848	1528	8900	8870	140578	10331				9945				2192	617	124	3562	147339			3269					114819	56660
3135	285521	2273	221357				2237	990	3344	23562	886	6364	51163	9700	51321	9415		23576	8534	665	81558	8317		5204		4781	8630	2009	4205	501	23245	3579	3638	22919			51560				1033	60682		5271	55759	8886	1846		7067		58516	3107	2643	617		9595		924	2191	3913	85444	6352	57636	22901	216	55790	2012		55789	9221	708	56647		80279	9493	793		79094	8318	1048	1351	5119		1163	983		1062		1948		3191	164		8412		55573	10561	1947	1594	64866	3576	7123	84002				23151				2200	84707	126	3678	79669			3600					1440	23325
3383	1543	2281	373156				51083	8317	152007	9074	6368	6368	285761	2146	162282	2191		22982	9435	694	140876	113130		8766		283927	3588	2965	4668	226	55101	1535	3988	4172			160897				1058	54386		6449	10785	11218	1956		7297		157574	10437	2820	57596		23586		3627	55033	3915	4052	6352	83478	9914	216	1729	2014		200895	26747	56683	627		1153	3833	8536		1365	8317	4680	1488	9793		1164	1033		8208		1949		9957	54518		332		1058	22885	1958	1736	50515	3976	1690	637				23119				2619	340542	150	221037	54520			3576					1490	3996
3597	23002	2353	2944				51659	113130	11146	64581	909	1043	1788	2237	54882	2192		1741	56548	55765	222235	83879		388		55486	3655	29083	55003	230	10079	1536	1326	4176			79888				1058	54664		84926		8560	1958		90204		56929	3430	55008	645		55601		6373	9945	4134	9053	634	9938	25805	8854	23268	2131		22943	5036	79080	642		1315	400043	23066		1364	55143	79789	79004	1163		23234	1054		26973		30846		3598	10307		642		79959	27235	10938	56521	1178	23764	1278	641				3269				5654	219738	56895	3725	54520			3669					9547	84441
3628	9787	2512	2946				64785	55143	55127	1240	1043	1021	5977	2305	253650	10516		9829	11113	79098	26272	983		79641		9749	54800	3005	5297	84266	582	8291	4172	4240			8476				1062	7453		10963		1665	1999				80307	10561	3620	655		79132		10563	2720	55233	57509	634	10124	10538	8854	1874	2201		9787	10606	10576	665		51117	4085	847		9073	8099	1384	1555	1164		51514	1058		1164		10328		3690	324		672		56942	6760	2004	23234	1453	5606	51226	51027				3484				9358	90835	185	3765	9332			9766					3491	4338
8660	26052	2539	2947				2743	983	3535	27255	1052	1026	5977	2821	22852	2200		23234	25792	51719	26998	1017		55316		26073	81691	3092	5465	51421	8537	2219	4331	4331			10403				1063	8565		10452		27292	26284				2353	10964	10437	10950		10148		9547	26585	4833	4739	1116	10124	55653	287	254102	8061		51514	26577	7203	28969		9646	6416	100133941		8161	1033	1472	1580	29097		2038	1062		1186		10495		23135	324		140707		64764	84894	2069	30836	102800317	4609	1473	79866				3556				4016	56913	9590	9766	913			57149					23405	4478
25959	54935	2643	2948				51053	91368	3663	1421	1059	1029	11221	3014	84250	11259		29980	1407	801	2281	8099		6509		10622	54797	6596	55615	64682	54880	2268	29088	6182			8833				1063			7706		3301	2064				23462	2537	3430	53838		51513		4283	3671	4854	4884	1117	57198	55653	353322	1999	2290		1870	23481	10575	121053		1524	4172	928		1301	1123	1488	1725	8161		9700	1063		1207		8933		57051	324		689		2921	7480	2353	1808	102800317	7262	246100	10380				3566				4035	79098	1109	7071	940			4321					1755	4638
55679	219670	2650	2949				85236	1033	84522	1493	1071	1039	55268	3015	81611	11167		1808	10675	805	79672	1058		10559		5733	58526	3514	9693	10393	55859	10211	4605	51253			1894				1111			7378		134218	2194				3099	3434	10561	57102		356		7852	57158	4952	4938	22802	55859	596	118429	2000	11167		79733	5213	22948	388115		79901	54069	1009		10087	1164	1602	9093	27235		26271	79019		1265		728215		5062	374		220042		1727	2099	94234	51514	1454	1263	1493	699				3570				10234	126695	216	8609	1026			55686					1825	4893
25802	2115	2752	2950				25896	81620	3783	29119	10669	30850	9470	3068	8546	26585		51514	1633	808	2306	1062		6643		5733	26960	3572	55131	29945	122616	2348	8202	28957			4318				1111			10771		285381	2294				3475	3433	10964	80178		10875		10663	4205	5214	5446	9071	653	64073	8905	22936	53827		10969	5245	10694	708		1602	4288	1012		1314	7123	1602	55837	1478		25793	55839		1311		389715		55010	50649		220042		1869	3087	50486	1843	1454	9533	440387	701				3691				4237	148304	8854	23592	55602			4501					667	5568
