ACIDOSIS.21672245	ACTIVATEDENDOTHELIUM.23975155	AKT.20335537	ANTIOXIDANT	AR.TNBC.21633166	ASCORE.21422418	BCAT.ONCOGENE.16273092	BETACATENIN.20335537	BMYB.19043454	BRCA1.11823860	BRCA1.UP.16843262 	CCND1.12914697 	CCND1K112E.12914697 	CD44POS.CD24NEG.17229949	CIN70.16921376	CMYB.20949095	CORE.EMT. 20713713	DNADAMAGE.TNBC.21633166	E2F1.20335537	E2F3.ONCOGENE.16273092	EGFR.20335537	EIF4E.UP.17638893 	EMT.MCF10A.18281472  	EMT.TNBC.21633166	ER.20335537	ERBB2.DESMEDT.18698033	ERNEG.RESIST.21558518	ERNEG.SENS.21558518	ERPOS.RESIST.21558518	ERPOS.SENS.21558518	ESC.18397753	ESR1.DESMEDT.18698033	FIBRO.COCULTURE.21625507	FIBRO.SERUM1.14737219	FIBRO.SERUM2.14737219	FOSJUN.21214954	GATA3.15361840 	GENE70.11823860	GEPARSIXTO.ACT.25534375	GEPARSIXTO.SUPP.25534375	GF.TNBC.21633166	GGI.16478745	GLUCOSEDEPLETION.21672245	GYCOLYSIS.19291283	HER1C1.17663798	HER1C2.17663798	HER1C3.17663798	HER2.20335537	HER2AMP.21214954	HGF.24025166	HSP90.20920318	HYPOXIA.21672245	IFNA.20335537	IFNG.20335537	IGF1. 18757322	IMMUNE.ERNEG.17683518	IMMUNE.STAT1.18698033	IMMUNESIG1.TNBC.21633166	IMMUNESIG2.21633166	INVASION.PLAU.18698033	LACTICACIDOSIS.21672245	LKB1.17676035	MAMLIN.LumProg.19648928	MAMLIN.MaSC.19648928	MAMLIN.MatLum.19648928	MAMLIN.STROMAL.19648928	MAPK.16585219	MCF7.DOXRESIST.20935265	MESENCHSTEM.TNBC.21633166	MET.DOWN.23049908	MYC.ONCOGENE.16273092	MYCACT.20335537	MYCSIG.19690609	NEOADJ.RESIST.16896004	P53.20335537	P53MUT.17150101	P53MUT.UP.16199517	P63.20335537	PI3K.20335537	PIK3CA.22552288	PIK3CA.MUT.20479250	PR.20335537	PROLIF.AURKA.18698033	PROLIF.TNBC.21633166	PROLIF.PCNA.22028643	PROLIFERATION.GATZA.21214954	PROLIFERATIONPAM50.19204204	PTENDEL.17452630	RANDOM.GENOME10	RANDOM.GENOME100	RANDOM.GENOME5	RANDOM.GENOME50	RANDOM.GENOME500	RANDOM.SAMPLE10	RANDOM.SAMPLE100	RANDOM.SAMPLE5	RANDOM.SAMPLE50	RANDOM.SAMPLE500	RAS.ACT.20591134	RAS.20335537	RAS.ONCOGENE.16273092	RASERK.ACT.22683778	RBBP8.UP.16843262	RBLOH.18782450	SRC.20335537	SRC.ONCOGENE.16273092	STAT1.19272155	STAT3.20335537	STAT3.15958548	STEM.TNBC.21633166	STEMCELL.15931389	STROMAL.19122658	STROMALDOWN.19648928	STROMALUP.19648928	TGFB.20335537	TGFBETA.18394990	TGFBETA.ACT.19451693	TNBC.TAXANE.20189874	TNFA.20335537	TOP2A.21422418	VEGFHYPOXIA.19291283	WNT.EMT.19549913	WNT.TNBC.21633166	WOUNDRESPONSE.19887484	YAP.UP.18413746
									3927	2302	1437	7180	29950								4008																														80028											81831	9069	11167	1942	60481				266977										92815																				604		9695												2123					8833					9671
									4214	2562	9820	1400	29990								4016																														8241											85409	1365	2534	2041	79071				8829										9456																				113146		1906												2070					2781					9880
									4147	54815	7852	1437	51201								987																														4174											4884	1366	8324	1969	2161				7846										3248																				28514		23136												10144					160897					158506
									4148	8200	1591	6387	51278								4217																														79650											1728	9073	8326	54869	79675				79413										22824																				163782		26049												2188					29899					
									56917	2760	1618	2921	51307								79648																														65985											5155	54102	2619	50848	2218				4909										3400																				123016		54855												144699					55355					
									8777	2768	11080	1591	51520								10724																														6839											113026	1368	2690	2150	79068				5328										51124																				57018		2330												79176					3149					
									59277	2797	441263	1559	55268								55586																														79571											5376	56474	11010	115572	2581				7051										8660																				6317		80020												8547					57110					
									55742	80045	1981	1572	55500								57496																														78990											10687	404217	2770	112703	54332				1992										3945																				3223		2842												2251					3488					
									8622	2842	2009	1610	56243								4318																														79697											25945	1525	2824	222584	2674				23762										51136																				10521		3002												2275					25896					
									8399	2859	2041	1618	56994								4628																														55147											5947	6372	10457	286077	29889				81671										23764																				85301		10021												64778					10625					
									5327	2875	2072	1734	79191								4651																														79595											22836	1577	2882	157638	2803				5091										4233																				11096		11112												4303					57189					
									5409	80000	2078	55567	81565								23054																														80020											6236	79007	196996	85462	23015				406										286527																				10150		3092												23401					9928					
									5538	23426	2146	11080	114789								135112																														7187											6256	55601	2995	2317	9687				406										23531																				2335		3112												23150					55605					
									5592	79792	2319	10059	147798								23327																														54915											6337	1672	145864	2348	55008				23564										4331																				1545		3442												10817					286052					
									6147	9421	9513	8193	163732								222698																														55661											10512	22898	9843	8323	7290				9052										4493																				7042		22997												10272					79888					
									9522	51179	2538	1815	220972								9520																														26119											710	51071	3202	2582	3006				83719										4609																				115572		3593												2625					29967					
									6388	55733	2549	1828	285440								8481																														10938											26040	1718	3428	2625	8334				9052										27018																				10521		3557												2643					4085					
									866	8366	51083	2009	375449								79668																																									400745	1741	57158	2861	3012				9590										4969																				23524		3640												9815					10982					
									5176	8367	2584	2041	439994								5166																																									64094	6990	3755	2886	8969				1017										5001																				7168		84223												2770					56922					
									23677	203510	2623	2064	654780								55023																																									6733	1917	11202	119391	8344				64857										5021																				121227		3746												10020					4175					
									6549	3291	2626	2138									5328																																									8614	80303	284217	3017	8343				7776										5178																				143686		90134												55204					9833					
									64094	10553	2645	2152									54477																																									7021	1942	115123	9455	8339														5203																				220441		79734												2863					11320					
									6652	3386	2781	8789									10549																																									7077	26298	4139	51361	8345														5213																				861		25818												55890					8028					
									6678	23463	2799	2208									23215																																									84951	1999	4147	29911	8346														5217																				6502		3827												1404					4318					
									10418	3430	2825	2242									9317																																									8459	2064	10461	3241	8357														51659																				861		3836												8336					28998					
									6812	29949	2977	2287									5743																																									57616	2065	26002	10207	8365														5281																				160418		3860												9957					92140					
									6799	27124	2984	2321									5903																																									10098	2099	22808	3664	22824														5332																				3008		3903												3284					8898					
									7035	3643	2997	9513									1102																																									7474	2109	117195	3673	26353														5350																				2619		3933												3298					10403					
									7138	26548	3066	2549									6288																																										2125	4744	3675	3375														5352																						51152												3339					10397					
									9618	3699	8925	2592									6291																																										399665	10763	3655	3398														8493																						2615												3397					123606					
									9094	3785	3122	2618									9522																																										54097	4781	3691	3429														11168																						54551												3398					4828					
